Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
BRAVERY017G.wav,5.12E+14,9.56E+12,162.8,14.45,1652,168.2,0.5982,0.04147,-1.04339,1.7983,74826448.56,21715051.95,0.07455,0.05689,15.76,24.21,0.0005265,0.001453,0.1184,0.2229,0.001979,0.001594,0.0112,0.0002465,67.05,0.3112,44.81,53.9,5.21E+14
BRAVERY018G.wav,5.73E+14,2.62E+13,88.78,21.83,1655,179.3,0.5978,0.06062,-1.26539,1.7295,70394676.86,23305535.64,0.05711,0.04114,29.34,28.66,0.0003534,0.0009086,0.2271,0.2563,0.001405,0.001066,0.01051,0.001489,196,56.16,84.37,56.44,5.99E+14
BRAVERY019G.wav,6.46E+14,1.58E+13,417.8,69.45,1635,168.5,0.5563,0.03563,-1.29212,1.4642,77913174.3,19999836.88,0.1339,0.08452,11.49,19.67,0.001694,0.002639,0.07697,0.1826,0.003425,0.002289,0.009371,0.0004052,211.1,11.45,37.28,42.82,6.62E+14
BRAVERY020G.wav,7.64E+14,5.35E+13,82.41,65.4,1727,200.3,0.6098,0.07479,-0.69811,1.8196,63595887.49,16903487.42,0.0496,0.03783,31.53,32.36,0.0002265,0.0004953,0.2287,0.2506,0.001227,0.0009789,0.0105,0.001424,149.4,71.37,78.73,63.71,8.17E+14
BRAVERY021G.wav,9.00E+14,2.40E+13,26.98,8.447,1591,168.6,0.5736,0.05339,-0.72194,1.6888,56557171.73,20329045.43,0.04129,0.02918,14.47,18.73,0.0001484,0.0004057,0.09348,0.1583,0.001032,0.000779,0.01131,0.0009018,220.6,9.11E-13,40.15,40.02,9.24E+14
BRAVERY022G.wav,1.04E+15,5.62E+13,18.67,8.084,1559,163.8,0.5715,0.06084,-0.863737,1.7719,63686428.88,25794529.91,0.02884,0.01788,12.84,17.85,0.00007119,0.0001273,0.08154,0.167,0.0007325,0.0004997,0.01048,0.001583,220.6,9.95E-13,40.66,36.23,1.09E+15
BRAVERY023G.wav,1.20E+15,3.59E+13,45.31,13.82,1569,171.4,0.6051,0.05096,-0.791747,1.7608,69331415.8,26734679.16,0.04556,0.04364,11.44,16.75,0.0003698,0.00114,0.07508,0.1695,0.00117,0.001174,0.01162,0.001709,211,29.98,37.83,36.22,1.23E+15
BRAVERY024G.wav,1.45E+15,1.14E+14,38.65,41.33,1655,176.3,0.6249,0.0546,-0.621627,2.2009,48019094.42,15405328.53,0.03396,0.03999,38.43,39.48,0.0001422,0.0004653,0.2503,0.2593,0.0008635,0.001089,0.01189,0.002666,189.4,41.79,88.34,76.24,1.57E+15
BRAVERY025G.wav,1.75E+15,5.51E+13,6.561,1.594,1728,239.8,0.6266,0.07233,-0.7389,2.2895,47471739.99,16453198.85,0.01505,0.01272,52.36,48.88,0.00003425,0.00009804,0.346,0.3053,0.0003607,0.0003171,0.01021,0.0009662,137.9,36.2,116.1,90.41,1.80E+15
BRAVERY026G.wav,1.97E+15,7.17E+13,19.73,2.247,1669,181.6,0.5707,0.04974,-0.44421,2.0763,55269194.12,15776931.27,0.02634,0.01555,28.22,24.34,0.00005398,0.00009983,0.1915,0.2178,0.0006662,0.0004202,0.009489,0.0003536,203.2,37.97,68.91,47.69,2.04E+15
BRAVERY027G.wav,2.19E+15,5.63E+13,21.36,11.32,1654,162.8,0.6105,0.03999,-0.62608,2.0029,52026741.23,19943736.26,0.03197,0.02362,34.01,34.55,0.000169,0.0007041,0.2385,0.2554,0.0007673,0.0005988,0.009515,0.0008333,209,17.88,83,65.59,2.25E+15
BRAVERY028G.wav,2.32E+15,2.09E+13,0,0,1621,203.1,0.6442,0.0314,-0.6849487,2.0688,54917572.13,14040872.3,0.02601,0.01845,59.1,50.71,0.0001536,0.0003294,0.4266,0.3208,0.0005829,0.0004089,0,0,0,0,132.4,89.95,2.34E+15
BRAVERY029G.wav,2.41E+15,2.69E+13,11.38,0.9675,1610,186.3,0.5821,0.04157,-0.287094,2.2951,61513566.32,12857799.68,0.02088,0.01056,45.82,42.04,0.00003677,0.0001297,0.3427,0.329,0.0005115,0.0002762,0.009471,0.0001871,211.9,8.199,102,78.25,2.43E+15
BRAVERY030G.wav,2.53E+15,4.49E+13,7.561,2.174,1636,222.3,0.6066,0.08087,-0.24158,2.3353,37731342.91,19219568.69,0.01495,0.01085,63.66,53.78,0.00003846,0.000128,0.3933,0.3082,0.00035,0.0002581,0.009856,0.0005423,171.2,13.59,129.9,97.71,2.57E+15
Grand Total,2.43E+16,7.54E+14,2579.202,467.5505,78353,8738.1,29.1219,2.178146,-36.33485157,92.32731,2891499888,892967303.4,2.06743,1.52806,1601.06,1594.53,0.01173127,0.0291775,11.05792,11.90394,0.0515291,0.0408938,0.406411,0.0255761,6679.48,1055.0551,3853.49,3082.49,2.51E+16
