Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
 LOVE027G.wav,1.37E+15,6.58E+13,35.51,26.37,1639,201,0.613,0.05539,-0.39787,2.5355,49553728.83,16995275.58,0.03519,0.03284,51.79,51.97,0.0001383,0.0003445,0.3257,0.3154,0.0008693,0.0008677,0.01023,0.0008011,160.7,50.69,107.9,94.97,1.44E+15
 LOVE028G.wav,1.53E+15,2.39E+13,68.98,7.33,1661,175.9,0.5743,0.05092,-0.14274,1.8551,71164111.49,13134738.71,0.04656,0.02984,48.1,36.16,0.00009204,0.0001657,0.3349,0.2967,0.001143,0.0008004,0.01093,0.0003868,220.6,4.00E-13,102.6,66.01,1.55E+15
 LOVE029G.wav,1.64E+15,4.22E+13,28.8,5.476,1706,207.7,0.6539,0.08714,-0.36737,2.485,65299808.95,20155992.89,0.0297,0.02449,62.08,52.32,0.000145,0.000512,0.4066,0.3329,0.0006985,0.0005732,0.009923,0.0004982,179.3,32.95,131.7,94.39,1.68E+15
 LOVE030G.wav,1.85E+15,8.04E+13,53.69,11.72,1734,161.2,0.7206,0.07411,-0.54528,1.91,63401223.12,17562017.93,0.04319,0.04074,63.02,46.02,0.0002281,0.0006823,0.4344,0.2872,0.001028,0.001106,0.009762,0.000577,168,54.83,139.2,83.07,1.93E+15
 LOVE031G.wav,2.03E+15,2.15E+13,11.76,0.8053,1699,207.5,0.5484,0.03391,-0.59197,2.3656,43960990.72,16350952.97,0.02099,0.01061,54.07,48.63,0.00004037,0.00007605,0.3821,0.3243,0.0004953,0.0002563,0.009276,0.0001484,213.7,10.8,117.5,89.69,2.05E+15
 LOVE032G.wav,2.27E+15,1.19E+14,7.561,2.64,1595,170.4,0.6155,0.05382,0.25593,2.3427,39540438.56,10935793.98,0.01641,0.01311,109.5,48.72,0.00005575,0.000174,0.6339,0.2504,0.0003577,0.0002976,0.01014,0.0006831,207.3,29.06,215.5,90.76,2.39E+15
 LOVE034G.wav,2.55E+15,4.22E+13,14.05,1.502,1660,159.5,0.6541,0.05129,-0.28628,1.992,54619175.7,12960369.57,0.02374,0.01574,79.21,41.57,0.0001016,0.0002952,0.5791,0.2468,0.0005059,0.0003292,0.009524,0.0002307,202.2,15.71,170.9,72.72,2.59E+15
 LOVE039G.wav,2.77E+15,8.71E+13,46.65,50.78,1615,188.5,0.5555,0.05893,-0.32945,2.1501,52459585.99,14563331.1,0.03321,0.03189,39.52,30.98,0.0001776,0.0004014,0.2719,0.2442,0.0007408,0.0006694,0.01093,0.002169,218.2,12.07,89.77,58.2,2.86E+15
 LOVE042G.wav,3.01E+15,4.71E+13,9.839,0.4632,1696,190,0.6143,0.03936,-0.45238,2.2066,46945169.91,18998723.01,0.01968,0.008322,31.43,25.8,0.00002742,0.00004544,0.2273,0.2315,0.0004848,0.0002253,0.009256,0.0002248,207.3,13.09,75.15,50.23,3.05E+15
 LOVE043G.wav,3.22E+15,7.61E+13,19.88,3.112,1723,196.1,0.5428,0.04006,-0.16142,2.0728,41862540.56,21584235.33,0.02642,0.009464,28.93,22.37,0.00003706,0.00005199,0.1752,0.1971,0.0006567,0.0002456,0.009127,0.00009085,215.4,15.48,67.61,44.17,3.30E+15
 LOVE045G.wav,3.40E+15,3.04E+13,6.806,0.3851,1672,176.2,0.5472,0.04351,-0.48317,2.3982,55144422.61,23673078.05,0.01561,0.008962,18.93,17.92,0.00001279,0.00003987,0.1133,0.1696,0.0003969,0.0002327,0.01012,0.00008402,220.6,8.69E-14,52.67,38.85,3.43E+15
 LOVE049G.wav,3.52E+15,3.45E+13,15.54,1.23,1670,193.7,0.5793,0.03283,0.16661,2.2644,46269885.2,14347382.12,0.02386,0.01482,59.66,45.54,0.00005338,0.0001042,0.3899,0.3113,0.0005658,0.0003774,0.00952,0.0002392,220.6,8.60E-14,123.2,83.81,3.55E+15
 LOVE051G.wav,3.69E+15,6.87E+13,18.06,3.499,1718,205.6,0.6096,0.05268,-0.57415,2.6701,48354742.27,15835434.59,0.02335,0.01615,56.97,42.08,0.00006842,0.0002036,0.3622,0.2752,0.0005661,0.0003861,0.009737,0.000404,152.3,26.02,123.1,75.28,3.76E+15
 LOVE052G.wav,3.98E+15,9.54E+13,23.17,5.178,1643,180.6,0.6167,0.06076,-0.36334,2.312,43101639.47,9751415.068,0.02834,0.01816,76.21,39.25,0.0001045,0.0002013,0.4752,0.2424,0.0006726,0.0004767,0.00961,0.0003597,203.2,30.08,160.1,67.95,4.07E+15
 LOVE056G.wav,4.27E+15,7.16E+13,19.37,6.707,1600,167.1,0.6256,0.04196,-0.51892,1.8925,49682316.88,8996646.381,0.02862,0.01644,65.95,46.48,0.0001069,0.0001966,0.4608,0.2768,0.0006284,0.0003726,0.00919,0.0002839,201,30.21,146.4,81.72,4.34E+15
 LOVE057G.wav,4.45E+15,3.64E+13,11.48,0.2688,1681,222.2,0.5603,0.04835,-0.37891,2.1172,48521145.38,10658295.46,0.02107,0.01246,85.61,58.16,0.00006574,0.0001013,0.5443,0.3087,0.0004604,0.000262,0.00912,0.0001085,157.1,55.53,174.2,103,4.49E+15
Grand Total,5.45E+16,1.31E+15,1772.296,345.2455,85506,9632.1,30.557,2.72183,-21.7658818,106.41879,2646132564,814636279.3,1.79851,1.091934,2395.21,1854.585,0.00671756,0.01521047,16.05298,12.88837,0.0433844,0.0274122,0.455411,0.01987637,8972,1209.059,5328.8,3451.58,5.58E+16
